date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:09:04	4272/4272	---M--	200	added ('OK')	text/html	etag:%2210b0-557d9c07b3ad6%22	http://web.cs.iastate.edu/~cs227/labs/lab1/page13.html	U:/Desktop/My%20Web%20Sites/ComS227Lab/web.cs.iastate.edu/_cs227/labs/lab1/page13.html	(from http://web.cs.iastate.edu/~cs227/labs/lab1/)
21:09:04	3027/3027	---M--	200	added ('OK')	text/html	etag:%22bd3-557d9c07d55e7%22	http://web.cs.iastate.edu/~cs227/labs/lab1/page14.html	U:/Desktop/My%20Web%20Sites/ComS227Lab/web.cs.iastate.edu/_cs227/labs/lab1/page14.html	(from http://web.cs.iastate.edu/~cs227/labs/lab1/)
21:09:05	8011/8011	---M--	200	added ('OK')	text/html	etag:%221f4b-557d9c08335cf%22	http://web.cs.iastate.edu/~cs227/labs/lab1/page15.html	U:/Desktop/My%20Web%20Sites/ComS227Lab/web.cs.iastate.edu/_cs227/labs/lab1/page15.html	(from http://web.cs.iastate.edu/~cs227/labs/lab1/)
21:09:05	3197/3197	---M--	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202017%2003:09:05%20GMT	http://web.cs.iastate.edu/~cs227/labs/?C=S;O=D	U:/Desktop/My%20Web%20Sites/ComS227Lab/web.cs.iastate.edu/_cs227/labs/index5851.html	(from http://web.cs.iastate.edu/~cs227/labs/?C=S;O=A)
21:09:22	170385/170385	---M--	200	added ('OK')	image/jpeg	etag:%2229991-557d9bfff05e9%22	http://web.cs.iastate.edu/~cs227/labs/lab1/folder_options_dialog_screenshot.jpg	U:/Desktop/My%20Web%20Sites/ComS227Lab/web.cs.iastate.edu/_cs227/labs/lab1/folder_options_dialog_screenshot.jpg	(from http://web.cs.iastate.edu/~cs227/labs/lab1/)
21:09:27	29510/29510	---M--	200	added ('OK')	application/x-java-archive	etag:%227346-557d9c0b16ddc%22	http://web.cs.iastate.edu/~cs227/labs/lab1/speccheck_lab1.jar	U:/Desktop/My%20Web%20Sites/ComS227Lab/web.cs.iastate.edu/_cs227/labs/lab1/speccheck_lab1.jar	(from http://web.cs.iastate.edu/~cs227/labs/lab1/)
21:09:28	3197/3197	---M--	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202017%2003:09:28%20GMT	http://web.cs.iastate.edu/~cs227/labs/?C=D;O=D	U:/Desktop/My%20Web%20Sites/ComS227Lab/web.cs.iastate.edu/_cs227/labs/indexad3f.html	(from http://web.cs.iastate.edu/~cs227/labs/?C=D;O=A)
21:09:30	229723/229723	---M--	200	added ('OK')	image/jpeg	etag:%223815b-557d9bfc957b3%22	http://web.cs.iastate.edu/~cs227/labs/lab1/explorer_screenshot.jpg	U:/Desktop/My%20Web%20Sites/ComS227Lab/web.cs.iastate.edu/_cs227/labs/lab1/explorer_screenshot.jpg	(from http://web.cs.iastate.edu/~cs227/labs/lab1/)
21:09:31	5889/5889	---M--	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202017%2003:09:30%20GMT	http://web.cs.iastate.edu/~cs227/labs/lab1/?C=N;O=D	U:/Desktop/My%20Web%20Sites/ComS227Lab/web.cs.iastate.edu/_cs227/labs/lab1/indexc052.html	(from http://web.cs.iastate.edu/~cs227/labs/lab1/)
21:09:31	5889/5889	---M--	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202017%2003:09:31%20GMT	http://web.cs.iastate.edu/~cs227/labs/lab1/?C=M;O=A	U:/Desktop/My%20Web%20Sites/ComS227Lab/web.cs.iastate.edu/_cs227/labs/lab1/indexf8a0.html	(from http://web.cs.iastate.edu/~cs227/labs/lab1/)
